sciName,tiplabel,imputation,activity_nocturnal,activity_crepuscular,activity_diurnal
Abditomys_latidens,Abditomys_latidens_MURIDAE_RODENTIA,0,1,0,0
Abeomelomys_sevia,Abeomelomys_sevia_MURIDAE_RODENTIA,0,1,0,0
Abrawayaomys_chebezi,Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,1,1,0,0
Abrawayaomys_ruschii,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,0,1,0,0
Abrocoma_bennettii,Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_boliviensis,Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_budini,Abrocoma_budini_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_cinerea,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_famatina,Abrocoma_famatina_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_shistacea,Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_uspallata,Abrocoma_uspallata_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrocoma_vaccarum,Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA,0,1,0,0
Abrothrix_andinus,Abrothrix_andinus_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_hershkovitzi,Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_illuteus,Abrothrix_illuteus_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_jelskii,Abrothrix_jelskii_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_lanosus,Abrothrix_lanosus_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_longipilis,Abrothrix_longipilis_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_manni,Abrothrix_manni_CRICETIDAE_RODENTIA,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_markhami,Abrothrix_markhami_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_olivaceus,Abrothrix_olivaceus_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Abrothrix_sanborni,Abrothrix_sanborni_CRICETIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Acerodon_celebensis,Acerodon_celebensis_PTEROPODIDAE_CHIROPTERA,0,1,0,0
Acerodon_humilis,Acerodon_humilis_PTEROPODIDAE_CHIROPTERA,0,1,0,0
Acerodon_jubatus,Acerodon_jubatus_PTEROPODIDAE_CHIROPTERA,0,1,0,0
Acerodon_leucotis,Acerodon_leucotis_PTEROPODIDAE_CHIROPTERA,0,1,0,0
Acerodon_mackloti,Acerodon_mackloti_PTEROPODIDAE_CHIROPTERA,0,1,0,0
Acinonyx_jubatus,Acinonyx_jubatus_FELIDAE_CARNIVORA,0,0,0,1
Acomys_airensis,Acomys_airensis_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_cahirinus,Acomys_cahirinus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_cilicicus,Acomys_cilicicus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_cineraceus,Acomys_cineraceus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_dimidiatus,Acomys_dimidiatus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_ignitus,Acomys_ignitus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_johannis,Acomys_johannis_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_kempi,Acomys_kempi_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_louisae,Acomys_louisae_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_minous,Acomys_minous_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_mullah,Acomys_mullah_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_muzei,Acomys_muzei_MURIDAE_RODENTIA,1,0.5,0.5,0
Acomys_nesiotes,Acomys_nesiotes_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_ngurui,Acomys_ngurui_MURIDAE_RODENTIA,1,0.5,0.5,0
Acomys_percivali,Acomys_percivali_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_russatus,Acomys_russatus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_seurati,Acomys_seurati_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_spinosissimus,Acomys_spinosissimus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_subspinosus,Acomys_subspinosus_MURIDAE_RODENTIA,0,0.5,0.5,0
Acomys_wilsoni,Acomys_wilsoni_MURIDAE_RODENTIA,0,0.5,0.5,0
Aconaemys_fuscus,Aconaemys_fuscus_OCTODONTIDAE_RODENTIA,0,1,0,0
Aconaemys_porteri,Aconaemys_porteri_OCTODONTIDAE_RODENTIA,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
Aconaemys_sagei,Aconaemys_sagei_OCTODONTIDAE_RODENTIA,0,0,0,1
Acrobates_pygmaeus,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA,0,1,0,0
Addax_nasomaculatus,Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA,0,1,0,0
Aegialomys_galapagoensis,Aegialomys_galapagoensis_CRICETIDAE_RODENTIA,1,1,0,0
Aegialomys_xanthaeolus,Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA,1,1,0,0
