sciName,tiplabel,imputation,diet_inv,diet_vend,diet_vect,diet_vfish,diet_vunk,diet_scav,diet_fruit,diet_nect,diet_seed,diet_plant_o
Abditomys_latidens,Abditomys_latidens_MURIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abeomelomys_sevia,Abeomelomys_sevia_MURIDAE_RODENTIA,0,0.1,0,0,0,0,0,0.1,0,0.2,0.6
Abrawayaomys_chebezi,Abrawayaomys_chebezi_CRICETIDAE_RODENTIA,1,0.2,0,0,0,0,0,0.1,0,0.4,0.3
Abrawayaomys_ruschii,Abrawayaomys_ruschii_CRICETIDAE_RODENTIA,0,0.2,0,0,0,0,0,0.1,0,0.4,0.3
Abrocoma_bennettii,Abrocoma_bennettii_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_boliviensis,Abrocoma_boliviensis_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_budini,Abrocoma_budini_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_cinerea,Abrocoma_cinerea_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_famatina,Abrocoma_famatina_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_shistacea,Abrocoma_shistacea_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_uspallata,Abrocoma_uspallata_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrocoma_vaccarum,Abrocoma_vaccarum_ABROCOMIDAE_RODENTIA,0,0,0,0,0,0,0,0,0,0,1
Abrothrix_andinus,Abrothrix_andinus_CRICETIDAE_RODENTIA,0,0.3,0,0,0,0,0,0,0,0,0.7
Abrothrix_hershkovitzi,Abrothrix_hershkovitzi_CRICETIDAE_RODENTIA,0,0.3,0,0,0,0,0,0,0,0,0.7
Abrothrix_illuteus,Abrothrix_illuteus_CRICETIDAE_RODENTIA,0,0.3,0,0,0,0,0,0,0,0,0.7
Abrothrix_jelskii,Abrothrix_jelskii_CRICETIDAE_RODENTIA,0,0.3,0,0,0,0,0,0,0,0,0.7
Abrothrix_lanosus,Abrothrix_lanosus_CRICETIDAE_RODENTIA,0,0.3,0,0,0,0,0,0,0,0,0.7
